Freq.	V(n007)/10	V(n009)/10	V(n011)/10	V(n019)/10	V(n020)/10	V(n024)/10
1.81970085860998e+001	(-2.08180513319698e+001dB,3.13184798372762e+000°)	(-2.07793668466832e+001dB,6.38275286440308e+000°)	(-2.08286692086508e+001dB,-1.39960745978628e-001°)	(-2.33382947116677e+001dB,4.22509430545601e+001°)	(-2.31635913889593e+001dB,4.00353601184357e+001°)	(-2.29604915921822e+001dB,3.78703074691043e+001°)
1.86208713666287e+001	(-2.08173944081392e+001dB,3.18365596700682e+000°)	(-2.07767362705622e+001dB,6.50910925133189e+000°)	(-2.08286789622665e+001dB,-1.64200163001421e-001°)	(-2.32666932637294e+001dB,4.17616259512926e+001°)	(-2.30904023543846e+001dB,3.94634777659063e+001°)	(-2.28842152268703e+001dB,3.72156167388818e+001°)
1.90546071796325e+001	(-2.08167077714922e+001dB,3.23713590158876e+000°)	(-2.07739845750274e+001dB,6.63879025836345e+000°)	(-2.08286903138642e+001dB,-1.88526581643838e-001°)	(-2.31970358072900e+001dB,4.12800335576606e+001°)	(-2.30192981921737e+001dB,3.88971875395278e+001°)	(-2.28101008709358e+001dB,3.65642497714934e+001°)
1.94984459975804e+001	(-2.08159899810462e+001dB,3.29231500451642e+000°)	(-2.07711061642184e+001dB,6.77185575059345e+000°)	(-2.08287032875095e+001dB,-2.12952890586414e-001°)	(-2.31292855341608e+001dB,4.08064894014644e+001°)	(-2.29502488821681e+001dB,3.83367977413787e+001°)	(-2.27381229949034e+001dB,3.59164916205552e+001°)
1.99526231496888e+001	(-2.08152395312211e+001dB,3.34922131257091e+000°)	(-2.07680951962732e+001dB,6.90836676983672e+000°)	(-2.08287179107066e+001dB,-2.37492031143553e-001°)	(-2.30634039845021e+001dB,4.03413069801379e+001°)	(-2.28832227486439e+001dB,3.77826069670831e+001°)	(-2.26682543007652e+001dB,3.52726176389174e+001°)
2.04173794466953e+001	(-2.08144548487877e+001dB,3.40788369142727e+000°)	(-2.07649455730678e+001dB,7.04838552504982e+000°)	(-2.08287342144564e+001dB,-2.62157004078199e-001°)	(-2.29993511492967e+001dB,3.98847894223833e+001°)	(-2.28181865660026e+001dB,3.72349036897136e+001°)	(-2.26004658243381e+001dB,3.46328929493931e+001°)
2.08929613085404e+001	(-2.08136342896868e+001dB,3.46833184484990e+000°)	(-2.07616509296085e+001dB,7.19197538063193e+000°)	(-2.08287522333222e+001dB,-2.86960876446687e-001°)	(-2.29370855738188e+001dB,3.94372292043973e+001°)	(-2.27551056669610e+001dB,3.66939659004452e+001°)	(-2.25347270416093e+001dB,3.39975719706470e+001°)
2.13796208950223e+001	(-2.08127761357117e+001dB,3.53059632390152e+000°)	(-2.07582046230718e+001dB,7.33920084243266e+000°)	(-2.08287720055029e+001dB,-3.11916788476056e-001°)	(-2.28765644613650e+001dB,3.89989079198869e+001°)	(-2.26939440524676e+001dB,3.61600608061012e+001°)	(-2.24710059782945e+001dB,3.33668979993082e+001°)
2.18776162394955e+001	(-2.08118785910512e+001dB,3.59470853614777e+000°)	(-2.07545997214869e+001dB,7.49012754128514e+000°)	(-2.08287935729135e+001dB,-3.37037960478248e-001°)	(-2.28177437765425e+001dB,3.85700961026259e+001°)	(-2.26346645025971e+001dB,3.56334445832571e+001°)	(-2.24092693218360e+001dB,3.27411028488461e+001°)
2.23872113856834e+001	(-2.08109397786845e+001dB,3.66070075482211e+000°)	(-2.07508289920592e+001dB,7.64482221387231e+000°)	(-2.08288169812745e+001dB,-3.62337699803757e-001°)	(-2.27605783474475e+001dB,3.81510530998987e+001°)	(-2.25772286876929e+001dB,3.51143621881050e+001°)	(-2.23494825350806e+001dB,3.21204065452526e+001°)
2.29086765276777e+001	(-2.08099577366236e+001dB,3.72860612793041e+000°)	(-2.07468848891301e+001dB,7.80335268072633e+000°)	(-2.08288422802079e+001dB,-3.87829407839749e-001°)	(-2.27050219661098e+001dB,3.77420269948083e+001°)	(-2.25215972790648e+001dB,3.46030472208578e+001°)	(-2.22916099708963e+001dB,3.15050170790906e+001°)
2.34422881531992e+001	(-2.08089304139974e+001dB,3.79845868726139e+000°)	(-2.07427595417743e+001dB,7.96578782114627e+000°)	(-2.08288695233426e+001dB,-4.13526587053635e-001°)	(-2.26510274866230e+001dB,3.73432545750988e+001°)	(-2.24677300585824e+001dB,3.40997218430870e+001°)	(-2.22356149870153e+001dB,3.08951302130304e+001°)
2.39883291901949e+001	(-2.08078556669696e+001dB,3.87029335726564e+000°)	(-2.07384447410323e+001dB,8.13219754481351e+000°)	(-2.08288987684277e+001dB,-4.39442848087869e-001°)	(-2.25985469204329e+001dB,3.69549613458572e+001°)	(-2.24155860265501e+001dB,3.36045967460351e+001°)	(-2.21814600604228e+001dB,3.02909293435704e+001°)
2.45470891568503e+001	(-2.08067312544855e+001dB,3.94414596377707e+000°)	(-2.07339319267816e+001dB,8.30265275986833e+000°)	(-2.08289300774549e+001dB,-4.65591916907913e-001°)	(-2.25475315283049e+001dB,3.65773615832177e+001°)	(-2.23651235072936e+001dB,3.31178711676439e+001°)	(-2.21291069006508e+001dB,2.96925854152746e+001°)
2.51188643150958e+001	(-2.08055548338404e+001dB,4.02005324252808e+000°)	(-2.07292121742474e+001dB,8.47722533720396e+000°)	(-2.08289635167895e+001dB,-4.91987642007669e-001°)	(-2.24979319085503e+001dB,3.62106584259941e+001°)	(-2.23163002519369e+001dB,3.26397329557690e+001°)	(-2.20785165613800e+001dB,2.91002568855168e+001°)
2.57039578276886e+001	(-2.08043239560627e+001dB,4.09805284742429e+000°)	(-2.07242761801597e+001dB,8.65598807071955e+000°)	(-2.08289991573107e+001dB,-5.18644001675325e-001°)	(-2.24496980811394e+001dB,3.58550440020066e+001°)	(-2.22690735379016e+001dB,3.21703586748377e+001°)	(-2.20296495497980e+001dB,2.85140897374300e+001°)
2.63026799189538e+001	(-2.08030360611049e+001dB,4.17818335853029e+000°)	(-2.07191142485616e+001dB,8.83901463326569e+000°)	(-2.08290370745617e+001dB,-5.45575111323350e-001°)	(-2.24027795673906e+001dB,3.55106995857585e+001°)	(-2.22234002647116e+001dB,3.17099137530238e+001°)	(-2.19824659332140e+001dB,2.79342175385123e+001°)
2.69153480392691e+001	(-2.08016884728360e+001dB,4.26048428972102e+000°)	(-2.07137162762781e+001dB,9.02637952799997e+000°)	(-2.08290773489093e+001dB,-5.72795230886425e-001°)	(-2.23571254649755e+001dB,3.51777957840357e+001°)	(-2.21792370457383e+001dB,3.12585526668840e+001°)	(-2.19369254424824e+001dB,2.73607615421319e+001°)
2.75422870333816e+001	(-2.08002783938269e+001dB,4.34499609594525e+000°)	(-2.07080717380574e+001dB,9.21815803486363e+000°)	(-2.08291200657139e+001dB,-6.00318772289683e-001°)	(-2.23126845180333e+001dB,3.48564927459664e+001°)	(-2.21365402955760e+001dB,3.08164191602977e+001°)	(-2.18929875718363e+001dB,2.67938308290103e+001°)
2.81838293126445e+001	(-2.07988028999223e+001dB,4.43176018004897e+000°)	(-2.07021696713966e+001dB,9.41442615187505e+000°)	(-2.08291653155103e+001dB,-6.28160306992853e-001°)	(-2.22694051822406e+001dB,3.45469403940689e+001°)	(-2.20952663127883e+001dB,3.03836464944996e+001°)	(-2.18506116747914e+001dB,2.62335224856428e+001°)
2.88403150312660e+001	(-2.07972589345922e+001dB,4.52081889909712e+000°)	(-2.06959986610699e+001dB,9.61526053092692e+000°)	(-2.08292131941986e+001dB,-6.56334573611465e-001°)	(-2.22272356847318e+001dB,3.42492786728404e+001°)	(-2.20553713578154e+001dB,2.99603577259734e+001°)	(-2.18097570558271e+001dB,2.56799218165316e+001°)
2.95120922666638e+001	(-2.07956433030537e+001dB,4.61221557013099e+000°)	(-2.06895468233775e+001dB,9.82073840776208e+000°)	(-2.08292638032470e+001dB,-6.84856485620181e-001°)	(-2.21861240788121e+001dB,3.39636378114919e+001°)	(-2.20168117258819e+001dB,2.95466660089760e+001°)	(-2.17703830576083e+001dB,2.51331025870627e+001°)
3.01995172040201e+001	(-2.07939526661572e+001dB,4.70599447529603e+000°)	(-2.06828017901394e+001dB,1.00309375257946e+001°)	(-2.08293172499070e+001dB,-7.13741139141788e-001°)	(-2.21460182934494e+001dB,3.36901385975103e+001°)	(-2.19795438147897e+001dB,2.91426749195158e+001°)	(-2.17324491435577e+001dB,2.45931272938500e+001°)
3.09029543251359e+001	(-2.07921835340284e+001dB,4.80220086626321e+000°)	(-2.06757506924586e+001dB,1.02459360534289e+001°)	(-2.08293736474390e+001dB,-7.43003820824293e-001°)	(-2.21068661775732e+001dB,3.34288926578250e+001°)	(-2.19435241875244e+001dB,2.87484787976578e+001°)	(-2.16959149756382e+001dB,2.40600474593878e+001°)
3.16227766016838e+001	(-2.07903322594590e+001dB,4.90088096787151e+000°)	(-2.06683801442862e+001dB,1.04658124945279e+001°)	(-2.08294331153523e+001dB,-7.72660015811198e-001°)	(-2.20686155392473e+001dB,3.31800027444754e+001°)	(-2.19087096296427e+001dB,2.83641631051318e+001°)	(-2.16607404872495e+001dB,2.35339039479084e+001°)
3.23593656929628e+001	(-2.07883950310375e+001dB,5.00208198090550e+000°)	(-2.06606762258216e+001dB,1.06906455916645e+001°)	(-2.08294957796577e+001dB,-8.02725415807073e-001°)	(-2.20312141798168e+001dB,3.29435630218035e+001°)	(-2.18750572014456e+001dB,2.79898047953160e+001°)	(-2.16268859511851e+001dB,2.30147272994169e+001°)
3.31131121482591e+001	(-2.07863678660133e+001dB,5.10585208392101e+000°)	(-2.06526244667872e+001dB,1.09205142217922e+001°)	(-2.08295617731331e+001dB,-8.33215927243577e-001°)	(-2.19946099231654e+001dB,3.27196593523395e+001°)	(-2.18425242849762e+001dB,2.76254726927980e+001°)	(-2.15943120426371e+001dB,2.25025380789705e+001°)
3.38844156139202e+001	(-2.07842466028858e+001dB,5.21224043402503e+000°)	(-2.06442098296220e+001dB,1.11554972839586e+001°)	(-2.08296312356044e+001dB,-8.64147679547586e-001°)	(-2.19587506402433e+001dB,3.25083695787031e+001°)	(-2.18110686259099e+001dB,2.72712278798518e+001°)	(-2.15629798972684e+001dB,2.19973472383925e+001°)
3.46736850452531e+001	(-2.07820268937115e+001dB,5.32129716650899e+000°)	(-2.06354166926419e+001dB,1.13956735786879e+001°)	(-2.08297043142408e+001dB,-8.95537033517310e-001°)	(-2.19235842690579e+001dB,3.23097637990016e+001°)	(-2.17806483704329e+001dB,2.69271240873112e+001°)	(-2.15328511644094e+001dB,2.14991564877394e+001°)
3.54813389233575e+001	(-2.07797041961211e+001dB,5.43307339323089e+000°)	(-2.06262288332238e+001dB,1.16411216786510e+001°)	(-2.08297811638652e+001dB,-9.27400589807653e-001°)	(-2.18890588303372e+001dB,3.21239046333708e+001°)	(-2.17512220972265e+001dB,2.65932080874826e+001°)	(-2.15038880554612e+001dB,2.10079586739877e+001°)
3.63078054770101e+001	(-2.07772737650393e+001dB,5.54762119962752e+000°)	(-2.06166294110710e+001dB,1.18919197902448e+001°)	(-2.08298619472814e+001dB,-9.59755197530639e-001°)	(-2.18551224391002e+001dB,3.19508474794749e+001°)	(-2.17227488446966e+001dB,2.62695200868874e+001°)	(-2.14760533876156e+001dB,2.05237381645612e+001°)
3.71535229097172e+001	(-2.07747306441013e+001dB,5.66499364024330e+000°)	(-2.06066009516290e+001dB,1.21481456057057e+001°)	(-2.08299468356172e+001dB,-9.92617962972530e-001°)	(-2.18217233123859e+001dB,3.17906407549485e+001°)	(-2.16951881336042e+001dB,2.59560941167956e+001°)	(-2.14493106230243e+001dB,2.00464712334801e+001°)
3.80189396320561e+001	(-2.07720696567575e+001dB,5.78524473264154e+000°)	(-2.05961253297246e+001dB,1.24098761453864e+001°)	(-2.08300360086861e+001dB,-1.02600625843288e+000°)	(-2.17888097734053e+001dB,3.16433261249380e+001°)	(-2.16684999852660e+001dB,2.56529584196637e+001°)	(-2.14236239035676e+001dB,1.95761264480831e+001°)
3.89045144994280e+001	(-2.07692853970621e+001dB,5.90842944956390e+000°)	(-2.05851837535068e+001dB,1.26771875898324e+001°)	(-2.08301296553661e+001dB,-1.05993773118754e+000°)	(-2.17563302523996e+001dB,3.15089387130629e+001°)	(-2.16426449355059e+001dB,2.53601358297541e+001°)	(-2.13989580813910e+001dB,1.91126650544351e+001°)
3.98107170553497e+001	(-2.07663722201372e+001dB,6.03460370919625e+000°)	(-2.05737567487794e+001dB,1.29501551013097e+001°)	(-2.08302279739983e+001dB,-1.09443031258127e+000°)	(-2.17242332844928e+001dB,3.13875072942901e+001°)	(-2.16175840445489e+001dB,2.50776441463677e+001°)	(-2.13752787453888e+001dB,1.86560413597082e+001°)
4.07380277804112e+001	(-2.07633242323091e+001dB,6.16382436338319e+000°)	(-2.05618241438179e+001dB,1.32288526344484e+001°)	(-2.08303311728050e+001dB,-1.12950222725071e+000°)	(-2.16924675048435e+001dB,3.12790544683761e+001°)	(-2.15932789030507e+001dB,2.48054964982690e+001°)	(-2.13525522438264e+001dB,1.82062031099839e+001°)
4.16869383470335e+001	(-2.07601352809105e+001dB,6.29614918363426e+000°)	(-2.05493650547748e+001dB,1.35133527356878e+001°)	(-2.08304394703288e+001dB,-1.16517200248422e+000°)	(-2.16609816414014e+001dB,3.11835968126916e+001°)	(-2.15696916344658e+001dB,2.45437016980307e+001°)	(-2.13307457032991e+001dB,1.77630918620901e+001°)
4.26579518801592e+001	(-2.07567989437449e+001dB,6.43163684474842e+000°)	(-2.05363578717836e+001dB,1.38037263312330e+001°)	(-2.08305530958929e+001dB,-1.20145847772002e+000°)	(-2.16297245055886e+001dB,3.11011450134078e+001°)	(-2.15467848939550e+001dB,2.42922645851602e+001°)	(-2.13098270442309e+001dB,1.73266433482423e+001°)
4.36515832240165e+001	(-2.07533085182095e+001dB,6.57034690587504e+000°)	(-2.05227802458796e+001dB,1.41000425032641e+001°)	(-2.08306722900843e+001dB,-1.23838081418682e+000°)	(-2.15986449812232e+001dB,3.10317039741715e+001°)	(-2.15245218640357e+001dB,2.40511863569990e+001°)	(-2.12897649931203e+001dB,1.68967878324110e+001°)
4.46683592150962e+001	(-2.07496570100743e+001dB,6.71233978882489e+000°)	(-2.05086090768657e+001dB,1.44023682541713e+001°)	(-2.08307973052606e+001dB,-1.27595850469059e+000°)	(-2.15676920120145e+001dB,3.09752729015546e+001°)	(-2.15028662471781e+001dB,2.38204648865137e+001°)	(-2.12705290917410e+001dB,1.64734504574829e+001°)
4.57088189614874e+001	(-2.07458371219149e+001dB,6.85767675342544e+000°)	(-2.04938205022582e+001dB,1.47107682586343e+001°)	(-2.08309284060811e+001dB,-1.31421138355092e+000°)	(-2.15368145879562e+001dB,3.09318453667108e+001°)	(-2.14817822555460e+001dB,2.36000950261996e+001°)	(-2.12520897035048e+001dB,1.60565515824178e+001°)
4.67735141287197e+001	(-2.07418412412000e+001dB,7.00641986971443e+000°)	(-2.04783898874576e+001dB,1.50253046034087e+001°)	(-2.08310658700640e+001dB,-1.35315963668939e+000°)	(-2.15059617309509e+001dB,3.09014093428186e+001°)	(-2.14612345980796e+001dB,2.33900688974333e+001°)	(-2.12344180171918e+001dB,1.56460071087370e+001°)
4.78630092322638e+001	(-2.07376614280331e+001dB,7.15863198674463e+000°)	(-2.04622918172955e+001dB,1.53460365147377e+001°)	(-2.08312099881703e+001dB,-1.39282381187507e+000°)	(-2.14750824799986e+001dB,3.08839472180394e+001°)	(-2.14411884651129e+001dB,2.31903761646977e+001°)	(-2.12174860482496e+001dB,1.52417287957959e+001°)
4.89778819368445e+001	(-2.07332894025508e+001dB,7.31437669777138e+000°)	(-2.04455000891202e+001dB,1.56730200733702e+001°)	(-2.08313610654156e+001dB,-1.43322482912842e+000°)	(-2.14441258762837e+001dB,3.08794357838605e+001°)	(-2.14216095107134e+001dB,2.30010042941932e+001°)	(-2.12012666378592e+001dB,1.48436245644087e+001°)
5.01187233627271e+001	(-2.07287165319821e+001dB,7.47371830157557e+000°)	(-2.04279877075893e+001dB,1.60063079172327e+001°)	(-2.08315194215112e+001dB,-1.47438399128850e+000°)	(-2.14130409484948e+001dB,3.08878461988376e+001°)	(-2.14024638329267e+001dB,2.28219387964250e+001°)	(-2.11857334499585e+001dB,1.44515987884959e+001°)
5.12861383991364e+001	(-2.07239338173736e+001dB,7.63672175966878e+000°)	(-2.04097268813454e+001dB,1.63459489318828e+001°)	(-2.08316853915364e+001dB,-1.51632299474527e+000°)	(-2.13817766987123e+001dB,3.09091439278983e+001°)	(-2.13837179521020e+001dB,2.26531634524285e+001°)	(-2.11708609664093e+001dB,1.40655525745193e+001°)
5.24807460249772e+001	(-2.07189318799888e+001dB,7.80345264911242e+000°)	(-2.03906890217604e+001dB,1.66919879289536e+001°)	(-2.08318593266419e+001dB,-1.55906394034097e+000°)	(-2.13502820891959e+001dB,3.09432886575084e+001°)	(-2.13653387874703e+001dB,2.24946605233497e+001°)	(-2.11566244804852e+001dB,1.36853840285605e+001°)
5.37031796370252e+001	(-2.07137009473897e+001dB,7.97397711067294e+000°)	(-2.03708447439369e+001dB,1.70444653128968e+001°)	(-2.08320415947873e+001dB,-1.60262934444302e+000°)	(-2.13185060304044e+001dB,3.09902341871532e+001°)	(-2.13472936321395e+001dB,2.23464109431589e+001°)	(-2.11430000888520e+001dB,1.33109885109704e+001°)
5.49540873857624e+001	(-2.07082308392144e+001dB,8.14836179202523e+000°)	(-2.03501638701656e+001dB,1.74034167364287e+001°)	(-2.08322325815133e+001dB,-1.64704215019162e+000°)	(-2.12863973705762e+001dB,3.10499282977322e+001°)	(-2.13295501266650e+001dB,2.22083944943155e+001°)	(-2.11299646822025e+001dB,1.29422588785954e+001°)
5.62341325190348e+001	(-2.07025109526645e+001dB,8.32667378570035e+000°)	(-2.03286154360380e+001dB,1.77688727452002e+001°)	(-2.08324326907501e+001dB,-1.69232573892408e+000°)	(-2.12539048871955e+001dB,3.11223125976152e+001°)	(-2.13120762313493e+001dB,2.20805899662447e+001°)	(-2.11174959347008e+001dB,1.25790857146427e+001°)
5.75439937337156e+001	(-2.06965302477191e+001dB,8.50898056146855e+000°)	(-2.03061676994203e+001dB,1.81408584123268e+001°)	(-2.08326423456648e+001dB,-1.73850394177929e+000°)	(-2.12209772806653e+001dB,3.12073223472643e+001°)	(-2.12948401974172e+001dB,2.19629752965184e+001°)	(-2.11055722923828e+001dB,1.22213575463080e+001°)
